itemCode,itemName,purchasePrice,stockQuantity,taxRate,taxInclusive
Q9WM9H,powerpack puppy 20kg,5055,100,GST@18%,N
ZL17J6,PRO STARTER 1.2KG,330.51,100,GST@18%,N
V6EY9E,Pro Starter 10kg,2135.59,100,GST@18%,N
Q2XVR5,Pro Starter 3kg,711.86,100,GST@18%,N
X7EWCB,Proplan small & mini 2.5kg,991.53,100,GST@18%,N
A62491,PSB 3kg,593.22,100,GST@18%,N
BF2151,PUPPY TRAINING PAD,320,100,GST@18%,N
P8YT18,Purepet Adult 10kg,609.56,100,GST@18%,N
D3QAW4,Purepet Adult 9kg,609.56,100,GST@18%,N
T69J96,Purepet Biscuit 1kg,163.13,100,GST@18%,N
L95WSZ,Purepet Biscuits 500gm,103.81,100,GST@18%,N
R689TV,Purepet cat Adult 1.2kg,121.42,100,GST@18%,N
TI8149,Purepet Cat Adult 20kg,0,100,GST@18%,N
DXQJX2,Purepet Cat Adult 7kg,609.56,100,GST@18%,N
G4CQ95,Purepet Kitten 1.2kg,182.44,100,GST@18%,N
YTG6P8,Purepet Puppy 10kg,731.59,100,GST@18%,N
LP2N2S,Purina Supercoat Puppy 10kg,0,100,GST@18%,Y
VBQ531,Purina Supercoat puppy 3kg,477.54,100,GST@18%,N
DS4952,RC GIANT JUNIOR 3.5KG,1770.92,100,GST@18%,N
HZ8QXN,RC Kitten 400gm,199.06,100,GST@18%,N
H965TB,RC LABRADOR ADULT 3KG,1530.67,100,GST@18%,N
XLM3S7,RC MAXI PUPPY 4KG,1942.52,100,GST@18%,N
UP4LFW,RC MAXI STARTER 1KG,652.07,100,GST@18%,N
J4M2U5,RC MAXI STARTER 4KG,0,100,GST@18%,Y
ASZ16I,RC PERSIAN ADULT 2KG,1331.61,100,GST@18%,N
Y27G8B,ROPE 12MM,75,100,GST@18%,N
PK7ASO,ROPE 15MM,90,100,GST@18%,N
W3OCLT,ROPE 18MM,110,100,GST@18%,N
WYPB3H,ROPE 22MM,130,100,GST@18%,N
Y69582,ROPE 9MM,65,100,GST@18%,N
PIZC3O,ROPE TOY,70,100,GST@18%,N
CP92YT,Royal Canin Maxi Puppy 15kg,0,100,GST@18%,N
N9H8QR,Royal Canin Maxi Puppy 1kg,0,100,GST@18%,N
JXLSQL,Royal Canin Maxi Puppy 4kg,0,100,GST@18%,N
TE35MC,Royal Canin Medium Puppy 1kg,0,100,GST@18%,Y
AMMU36,Royal Canin Mini Adult 2kg,919.83,100,GST@18%,N
F4G6G4,Royal Canin Mini Adult 4kg,1722.96,100,GST@18%,N
Z95PGL,ROYAL CANIN MINI PUPPY 4KG,3060,100,GST@18%,N
NUT8FH,Royal Canin Mini Starter 1kg,0,100,GST@18%,N
NG8P9L,Royal Canin Mini Starter 3kg,0,100,GST@18%,N
TZ14L4,ROYAL CANIN MINI STARTER 8.5KG,6090,100,GST@18%,N
NMKS5U,SHOW LEASE,60,100,GST@18%,N
MJHI3X,SILLICON BALL,100,100,GST@18%,N
RRY196,SO  FRESH SOAP,80,100,GST@18%,N
YKF3VK,SO COOL TEA TREE Ear Cleaner,32.62,100,GST@18%,N
OTUI35,SO COOL TEA TREE OIL POWDER,83.05,100,GST@18%,N
SFFCW8,Strong Hook Lease M,130,100,GST@18%,N
U4CTFZ,Strong Hook Lease XL,150,100,GST@18%,N
J7759W,Strong Hook S,110,100,GST@18%,N
S93E93,SUPERBITE CHICKEN AND FISH BUNCH 10PCS,171,100,GST@18%,N
FO28P6,SUPERBITE CHICKEN BREAST,105,100,GST@18%,N
M88CAL,SUPERBITE JERKY SLICED 125GM,171,100,GST@18%,N
V38MG4,SUPERBITE MILKY CHEW 30PCS,171,100,GST@18%,N
RE2ACL,SUPERBITE PUPPY RING,105,100,GST@18%,N
V5ZBIK,Taste of wild Puppy Stream 12.2kg,8450,100,GST@18%,N
DU1D7R,Taste of wild puppy stream 2kg,1650,100,GST@18%,N
RZ3WB5,TINI BONE,15,100,GST@18%,N
S2YET4,TOY WHEEL RING,150,100,GST@18%,N
UIR51F,TURTLE FOOD 45GM,60,100,GST@18%,N
E9D96Q,venkys boww foam,0,100,GST@18%,N
JL6RQ5,VENKYS GLOSSY COAT PLUS,380.86,100,GST@18%,N
S1A9QP,venkys Gutwell Powder 100gm,0,100,GST@18%,N
Q63PWW,venkys Gutwell Powder 50gm,0,100,GST@18%,N
